#,"URL Rating (desc)","Referring Page URL","Referring Page Title","Internal Links Count","External Links Count","Link URL",Type,TextPre,"Link Anchor",TextPost,"HTTP Code","DP check","RP check"
1,32,https://www.avvo.com/immigration-lawyer.html,"Find the best Immigration lawyer near you - Avvo",239,12,https://www.uscis.gov/content/homepage-0,Dofollow,"understand the requirements and what to expect when interacting with",USCIS,"and applying for US citizenship. An experienced immigration lawyer can",404,"2020-09-19 18:07:04","2020-05-12 22:02:52"
2,30,https://stories.avvo.com/nakedlaw/bizarre/6-outrageously-wealthy-preachers-under-federal-investigation.html,"6 Outrageously Wealthy Preachers Under Federal Investigation",54,20,https://erlc.com/article/4-tv-ministries-wont-comply-with-probe/,Dofollow,"4. Creflo Dollar—Creflo Dollar was another","televangelist who ignored the Senate’s request for probes","into financial records. Dollar claimed he was concerned about the",404,"2020-09-17 11:08:25","2020-06-28 08:39:32"
3,30,https://www.avvo.com/legal-guides/ugc/job-promotion-discrimination,"Job Promotion Discrimination - Legal Guides - Avvo",156,19,https://www.eeoc.gov/policy/adea.html,"Nofollow, UGC","Title VII of the Civil Rights Act , the","Age Discrimination in Employment Act","(ADEA), and the Americans with Disabilities Act (ADA) protect employees",404,"2020-09-25 17:36:18","2020-05-09 05:46:45"
3,30,https://www.avvo.com/legal-guides/ugc/job-promotion-discrimination,"Job Promotion Discrimination - Legal Guides - Avvo",156,19,https://www.eeoc.gov/policy/vii.html,"Nofollow, UGC",,"Title VII of the Civil Rights Act",", the Age Discrimination in Employment Act (ADEA), and the",404,"2020-09-23 11:04:24","2020-05-09 05:46:45"
4,29,https://www.avvo.com/employment-labor-lawyer.html,"Find the best Employment lawyer near you - Avvo",247,13,https://www.dol.gov/whd/flsa/,Dofollow,"The Fair Labor Standards Act (",FLSA,") covers wages and overtime pay.",404,"2020-09-28 21:23:01","2020-05-13 01:30:05"
5,26,https://www.avvo.com/personal-injury-lawyer/ga/atlanta.html,"Find the best Personal Injury lawyer in Atlanta, GA - Avvo",190,43,https://www.hilleylaw.com/Attorneys/Mia-I-Frieder.shtml,Nofollow,,Website,,404,"2020-09-23 16:31:25","2020-05-07 06:22:11"
6,25,https://www.avvo.com/attorneys/33027-fl-michael-waddington-575452.html,"Lawyer Michael Waddington - Pembroke Pines, FL Attorney - Avvo",203,99,https://www.americanbar.org/bin/product.route.api?id=130739641,Nofollow,,"Book: The State of Criminal Justice 2014",,404,"2020-09-29 12:29:08","2020-05-04 18:21:50"
6,25,https://www.avvo.com/attorneys/33027-fl-michael-waddington-575452.html,"Lawyer Michael Waddington - Pembroke Pines, FL Attorney - Avvo",203,99,https://www.nacdl.org/impak/cms/members_online/members/viewitem.asp?item=17.016&catalog=17&pn=1&af=CDL&h=False,Nofollow,,"Book: Pattern Cross-Examination for Sexual Assault Cases: A Trial Strategy & Resource Guide",,404,"2020-09-24 12:15:44","2020-05-04 18:21:50"
6,25,https://www.avvo.com/attorneys/33027-fl-michael-waddington-575452.html,"Lawyer Michael Waddington - Pembroke Pines, FL Attorney - Avvo",203,99,https://ww.youtube.com/user/courtmartiallawyers,Nofollow,,"YouTube Channel",,0,"2020-09-08 19:29:46","2020-05-04 18:21:50"
7,25,https://www.avvo.com/dui-dwi-lawyer/ca/san_diego.html,"Find the best DUI & DWI lawyer in San Diego, CA - Avvo",190,43,https://www.bestlawyer4u.com/,Nofollow,,Website,,404,"2020-09-27 20:45:34","2020-05-06 01:16:24"
8,23,https://stories.avvo.com/crime/8-horrible-crimes-stopped-by-legal-gun-owners.html,"8 Horrible Crimes Stopped by Legal Gun Owners - AvvoStories",44,29,http://www.news9.com/Global/story.asp?S=11696830&Call=Email&Format=Text,Dofollow,"An Oklahoma City marine who was on leave suddenly","began opening fire in the parking lot of his apartment complex late last year",". Witnesses said he originally tried to go into the",404,"2020-09-27 16:12:19","2020-06-28 00:59:53"
9,23,https://www.avvo.com/legal-guides/ugc/penalties-sexual-harassment,"Penalties for Sexual Harassment - Legal Guides - Avvo",167,15,https://www.eeoc.gov/policy/vii.html,"Nofollow, UGC",,"Title VII of the Civil Rights Act","prohibits sexual harassment as a form of illegal sex discrimination.",404,"2020-09-23 11:04:24","2020-04-03 16:41:08"
10,23,https://www.avvo.com/attorneys/95655-ca-michael-hackard-226264.html,"Lawyer Michael Hackard - Sacramento, CA Attorney - Avvo",213,102,https://www.californiatrustestateandprobatelitigation.com/domestic-asset-protection-trusts-improving-financial-longevity,Nofollow,,"Domestic Asset Protection Trusts: Improving Financial Longevity",,404,"2020-09-17 13:19:41","2020-03-31 01:27:53"
